program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
mixed_w32_c16_l2,mixed,rate2,2.0,sccp,dependencies + arrival timing + buffer,264,264,1.0,1,0.0132,0.053,1
mixed_w32_c16_l2,mixed,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,264,264,1.0,1,0.0125,0.053,1
mixed_w32_c16_l2,mixed,rate2,2.0,t_count_only,T-count and average supply rate,288,264,1.0909,1,0.0602,0.278,0
mixed_w32_c16_l2,mixed,rate4,4.0,deps_only,dependencies only (what T-depth sees),200,196,1.0204,1,0.3178,0.555,0
mixed_w32_c16_l2,mixed,rate4,4.0,deps_plus_count,dependencies + T-count,238,196,1.2143,1,0.1518,0.3025,0
mixed_w32_c16_l2,mixed,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,196,196,1.0,1,0.0231,0.1126,1
mixed_w32_c16_l2,mixed,rate4,4.0,sccp,dependencies + arrival timing + buffer,196,196,1.0,1,0.0213,0.0816,1
mixed_w32_c16_l2,mixed,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,196,196,1.0,1,0.0211,0.0816,1
mixed_w32_c16_l2,mixed,rate4,4.0,t_count_only,T-count and average supply rate,269,196,1.3724,1,0.238,0.6218,0
mixed_w32_c16_l2,mixed,rate8,8.0,deps_only,dependencies only (what T-depth sees),121,121,1.0,1,0.1198,0.2794,1
mixed_w32_c16_l2,mixed,rate8,8.0,deps_plus_count,dependencies + T-count,121,121,1.0,1,0.1142,0.25,1
mixed_w32_c16_l2,mixed,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,121,121,1.0,1,0.0257,0.1324,0
mixed_w32_c16_l2,mixed,rate8,8.0,sccp,dependencies + arrival timing + buffer,121,121,1.0,1,0.0257,0.1324,0
mixed_w32_c16_l2,mixed,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,121,121,1.0,1,0.0257,0.1324,0
mixed_w32_c16_l2,mixed,rate8,8.0,t_count_only,T-count and average supply rate,263,121,2.1736,1,0.4534,0.7949,0
mixed_w32_c16_l4,mixed,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),14722,8642,1.7035,0,0.9868,0.994,0
