key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
SC3|p=0.003|r=10|T_rt|k=2|rounds=0,SC3,3,9,1,0.003,0.03,10,T_rt,2,0,18,2,16,200,3129,414,0.13231064237775647,0.1108884627676574,0.15589325663151168,2,False,33.14,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.003|r=3|T_rt|k=2|rounds=0,SC3,3,9,1,0.003,0.009000000000000001,3,T_rt,2,0,18,2,16,200,3963,451,0.11380267474135755,0.09595508453192025,0.13344436033308102,2,False,42.99,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.003|r=30|T_rt|k=2|rounds=0,SC3,3,9,1,0.003,0.09,30,T_rt,2,0,18,2,16,200,3000,596,0.19866666666666666,0.17253666666666667,0.2266433333333333,2,False,45.9,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=30|R|k=1|rounds=0,SC5,5,25,1,0.001,0.03,30,R,1,0,25,0,7,192,63582,202,0.0031769997798118963,0.002417822654210311,0.00407992828158913,4,False,31.43,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|R|k=1|rounds=0,SC5,5,25,1,0.001,0.01,10,R,1,0,25,0,7,192,227445,206,0.0009057134691903537,0.0006910242036536305,0.0011608081074545493,6,False,77.35,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=1|R|k=1|rounds=0,SC5,5,25,1,0.002,0.002,1,R,1,0,25,0,7,192,52000,211,0.004057692307692307,0.0031075,0.005183461538461539,2,False,32.05,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=3|R|k=1|rounds=0,SC5,5,25,1,0.002,0.006,3,R,1,0,25,0,7,192,56163,206,0.003667895233516728,0.002799351886473301,0.004699001121734951,4,False,36.45,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=10|R|k=1|rounds=0,SC5,5,25,1,0.002,0.02,10,R,1,0,25,0,7,192,36711,208,0.005665876712701915,0.004331126910190406,0.007248508621394133,3,False,28.15,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|R|k=1|rounds=0,SC5,5,25,1,0.001,0.001,1,R,1,0,25,0,7,192,499165,204,0.0004086824997746236,0.0003113599711518235,0.000524415774343153,11,False,139.93,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=30|R|k=1|rounds=0,SC5,5,25,1,0.002,0.06,30,R,1,0,25,0,7,192,10509,248,0.02359882005899705,0.01850604243981349,0.02952612046817014,2,False,12.37,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
